"David Price",8800,BOS,SP,HOU,24.56064,14.56416,18.72
"Joe Musgrove",6800,PIT,SP,LAD,24.66642,9.20819,15.17
"Hyun-Jin Ryu",11200,LAD,SP,PIT,32.3424,11.27492,22.46
"Brad Peacock",9000,HOU,SP,BOS,25.5456,9.06514,17.74
"Carlos Carrasco",10400,CLE,SP,TBR,28.59358,14.37955,20.69
"Jhoulys Chacin",6200,MIL,SP,PHI,25.11716,4.2398,14.62
"Charlie Morton",9800,TBR,SP,CLE,26.52804,1.53468,15.66
"Dakota Hudson",6000,STL,SP,ATL,22.82265,0.012370000000001,12.37
"Mike Soroka",9500,ATL,SP,STL,24.39234,9.00074,16.73
"Mike Minor",10400,TEX,SP,LAA,23.60955,8.2818,16.05
"Tyler Skaggs",7300,LAA,SP,TEX,25.29549,7.57512,15.03
"Andrew Cashner",5000,BAL,SP,COL,11.70976,1.84,7.36
"Kyle Freeland",5500,COL,SP,BAL,18.98989,4.30452,10.87
"Jorge Lopez",5000,KCR,SP,NYY,11.07,11.07,11.07
"Chad Green",5400,NYY,SP,KCR,11.8,11.8,11.8
"Jake Arrieta",7500,PHI,SP,MIL,21.56112,7.07112,14.49
"Ryan Carpenter",5500,DET,SP,NYM,21.08945,0.01055,10.55
"Yu Darvish",9300,CHC,SP,CIN,29.35152,9.93208,18.53
"Edwin Jackson",6500,TOR,SP,SDP,19.69399,3.3263,11.47
"Tyler Mahle",8700,CIN,SP,CHC,21.41338,5.04754,14.06
"J.A. Happ",7800,NYY,SP,KCR,15.57,15.57,15.57
"Manny Banuelos",6100,CHW,SP,MIN,17.19094,1.11592,9.62
"Jakob Junis",6200,KCR,SP,NYY,16.48504,6.68096,11.44
"Cal Quantrill",6000,SDP,SP,TOR,19.71072,2.9952,11.52
"Patrick Corbin",11500,WAS,SP,MIA,32.97672,9.3783,21.81
"Mike Fiers",8100,OAK,SP,SEA,22.42625,6.80625,13.75
"Jason Vargas",7000,NYM,SP,DET,18.66352,2.91584,10.72
"Yusei Kikuchi",8300,SEA,SP,OAK,22.5768,4.5816,13.8
"Taylor Clarke",7700,ARI,SP,SFG,18.67495,2.45815,11.65
"Sandy Alcantara",6900,MIA,SP,WAS,19.22112,7.01622,12.78
"Andrew Suarez",7300,SFG,SP,ARI,25.24464,7.10192,14.92
"Kyle Gibson",8500,MIN,SP,CHW,25.26183,6.63442,15.01
