"Player","Salary","Team","Opp","Ceiling","Floor","Points","Value"
"David Price","8800","Red Sox","HOU","24.56064","14.56416","18.72","2.13"
"Joe Musgrove","6800","Pirates","LAD","24.66642","9.20819","15.17","2.23"
"Hyun-Jin Ryu","11200","Dodgers","PIT","32.3424","11.27492","22.46","2.01"
"Brad Peacock","9000","Astros","BOS","25.5456","9.06514","17.74","1.97"
"Dakota Hudson","6000","Cardinals","ATL","22.82265","0.012370000000001","12.37","2.06"
"Mike Soroka","9500","Braves","STL","24.39234","9.00074","16.73","1.76"
"Mike Minor","10400","Rangers","LAA","23.60955","8.2818","16.05","1.54"
"Tyler Skaggs","7300","Angels","TEX","25.29549","7.57512","15.03","2.06"
"Andrew Cashner","5000","Orioles","COL","11.70976","1.84","7.36","1.47"
"Kyle Freeland","5500","Rockies","BAL","18.98989","4.30452","10.87","1.98"
