"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Cardinals","6","3","7","82","0","88.1","9.48","3.46","0.92",".278","68.1 %","46.1 %","13.2 %","4.08","3.60","3.76","1.3"
"Indians","6","1","8","88","0","87.2","10.27","2.87","1.23",".305","77.2 %","41.9 %","13.0 %","3.59","3.78","4.04","1.1"
"Rangers","9","5","7","84","0","116.0","9.31","3.34","1.40",".312","74.2 %","41.4 %","15.1 %","4.42","4.24","4.21","1.1"
"Reds","2","5","5","79","0","85.2","11.14","3.36","1.37",".282","72.6 %","49.8 %","19.7 %","4.20","3.85","3.36","0.9"
"Brewers","6","3","6","76","0","96.2","10.52","3.82","1.30",".316","67.9 %","47.0 %","17.5 %","4.84","4.10","3.82","0.8"
"Yankees","9","4","11","84","0","111.0","8.51","3.32","1.30",".269","74.8 %","46.8 %","14.8 %","3.81","4.41","4.42","0.8"
"Diamondbacks","3","4","3","86","0","99.0","8.27","3.18","0.91",".300","79.1 %","45.3 %","11.5 %","3.27","3.75","4.14","0.8"
"Rockies","6","2","5","93","0","96.1","8.88","2.62","1.59",".300","71.3 %","48.4 %","19.3 %","4.76","4.48","3.95","0.8"
"Red Sox","5","3","5","94","0","109.1","10.13","4.45","0.99",".315","74.2 %","44.9 %","11.5 %","4.28","4.04","4.45","0.7"
"Rays","7","7","3","87","0","120.1","7.85","3.66","0.90",".276","72.7 %","44.2 %","9.9 %","3.66","4.10","4.75","0.6"
"White Sox","5","3","7","80","0","81.0","7.56","3.44","1.11",".274","67.4 %","45.0 %","12.2 %","4.44","4.34","4.70","0.5"
"Cubs","4","5","7","87","0","84.2","8.19","3.83","1.28",".317","74.6 %","45.1 %","15.0 %","4.68","4.53","4.51","0.4"
"Athletics","4","5","9","85","0","95.0","7.67","3.79","1.42",".302","69.1 %","37.2 %","12.0 %","5.31","4.93","5.42","0.3"
"Royals","3","6","4","73","0","87.1","9.17","4.74","1.13",".332","68.7 %","47.2 %","12.8 %","5.46","4.47","4.74","0.3"
"Mariners","2","6","2","91","0","121.0","7.81","4.09","1.34",".298","63.9 %","41.7 %","14.0 %","5.50","4.89","5.02","0.3"
"Braves","10","3","9","98","0","103.2","9.38","3.21","1.48",".291","74.0 %","42.4 %","15.3 %","3.73","4.39","4.33","0.3"
"Astros","10","3","9","83","0","97.1","10.17","3.79","1.76",".262","79.5 %","41.6 %","18.8 %","4.16","4.76","4.23","0.2"
"Giants","6","2","6","80","0","93.2","8.65","3.36","1.44",".276","74.5 %","44.0 %","16.1 %","4.13","4.66","4.50","0.1"
"Marlins","3","3","6","75","0","84.2","8.72","4.25","1.17",".315","69.5 %","38.0 %","10.7 %","5.10","4.40","5.06","0.1"
"Padres","4","3","8","94","0","101.0","9.27","2.50","1.60",".320","66.2 %","43.7 %","18.6 %","5.35","4.40","3.94","0.0"
"Twins","7","3","7","76","0","80.0","10.24","3.71","1.80",".321","65.3 %","37.4 %","20.3 %","5.85","4.80","4.10","0.0"
"Nationals","4","5","9","85","0","84.0","10.07","3.11","1.71",".328","61.6 %","37.8 %","16.0 %","6.32","4.72","4.54","-0.2"
"Dodgers","2","4","7","66","0","65.2","7.81","3.97","1.37",".245","72.4 %","44.9 %","14.7 %","4.52","5.00","5.02","-0.2"
"Angels","10","5","8","91","0","127.1","9.40","4.10","1.98",".327","73.7 %","37.9 %","18.2 %","5.87","5.48","4.96","-0.4"
"Orioles","2","8","6","82","0","104.1","8.63","4.49","1.73",".294","61.9 %","46.3 %","17.7 %","6.47","5.46","5.06","-0.4"
"Mets","6","7","5","82","0","79.1","8.96","3.97","1.70",".346","66.4 %","34.7 %","15.2 %","6.69","5.14","5.09","-0.5"
"Blue Jays","5","5","4","81","0","111.0","9.24","4.30","2.19",".333","76.4 %","40.6 %","21.8 %","5.68","5.83","4.83","-0.6"
"Phillies","4","5","11","88","0","85.2","9.56","4.62","2.42",".298","74.4 %","39.1 %","24.7 %","5.67","6.17","4.78","-0.8"
"Tigers","4","7","5","89","0","97.1","7.12","3.79","2.13",".255","68.0 %","44.0 %","20.7 %","4.72","6.07","5.20","-1.0"
"Pirates","2","7","3","92","0","126.1","8.48","4.92","1.92",".314","70.4 %","42.3 %","20.1 %","6.06","5.98","5.25","-1.6"
