"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Hyun-Jin Ryu","Dodgers","9","1","0","13","13","86.0","8.06","0.52","0.73",".248","94.7 %","50.2 %","11.7 %","1.36","2.63","2.93","2.7","14444"
"Sonny Gray","Reds","2","5","0","13","13","66.2","9.59","3.51","0.54",".293","69.4 %","56.6 %","8.9 %","3.65","3.02","3.55","1.9","12768"
"Spencer Turnbull","Tigers","3","5","0","14","14","77.2","8.46","3.36","0.70",".288","75.8 %","50.0 %","8.5 %","2.78","3.71","4.47","1.7","16207"
"James Paxton","Yankees","3","3","0","10","10","49.0","11.76","3.67","0.92",".325","68.4 %","30.3 %","9.3 %","4.04","3.16","3.96","1.6","11828"
"Jose Quintana","Cubs","4","6","0","13","13","74.2","7.35","2.53","0.96",".297","70.4 %","47.1 %","11.1 %","4.10","3.76","4.23","1.5","11423"
"Trevor Bauer","Indians","4","6","0","15","15","99.1","9.88","4.08","1.18",".244","71.0 %","40.7 %","13.4 %","3.71","4.36","4.54","1.4","12703"
"Brad Peacock","Astros","5","3","0","12","12","66.2","8.64","2.57","0.95",".268","76.6 %","40.0 %","9.5 %","3.51","3.68","4.46","1.4","5401"
"Martin Perez","Twins","6","2","0","11","11","62.0","7.98","3.48","0.87",".294","75.1 %","44.8 %","10.2 %","3.48","3.85","4.43","1.3","6902"
"John Means","Orioles","4","4","0","11","11","58.0","6.83","2.48","1.09",".248","79.0 %","40.1 %","9.1 %","2.79","4.24","5.24","1.1","16269"
"Ryne Stanek","Rays","0","1","0","19","19","30.1","10.38","2.37","0.59",".264","87.8 %","32.9 %","5.6 %","1.78","2.50","3.94","1.0","15947"
"Jason Vargas","Mets","3","3","0","10","10","50.1","6.97","3.75","0.72",".275","81.4 %","42.3 %","7.3 %","3.04","3.95","5.03","0.9","8044"
"Sandy Alcantara","Marlins","3","6","0","13","13","76.0","6.16","4.26","0.71",".278","70.0 %","47.7 %","8.8 %","3.67","4.35","5.06","0.9","18684"
"Trent Thornton","Blue Jays","1","5","0","14","14","69.2","9.43","4.39","1.42",".288","74.2 %","33.2 %","15.1 %","4.78","4.62","4.60","0.8","17948"
"Griffin Canning","Angels","2","2","0","8","8","44.1","9.54","2.03","1.42",".239","78.5 %","37.8 %","12.3 %","3.65","4.04","4.47","0.7","19867"
"Anibal Sanchez","Nationals","2","6","0","12","12","59.2","8.45","4.22","1.21",".275","76.6 %","33.9 %","11.1 %","3.92","4.43","5.02","0.7","3284"
"Jakob Junis","Royals","4","6","0","14","14","79.0","8.09","3.19","1.59",".307","67.4 %","45.9 %","16.9 %","5.35","4.84","4.57","0.6","13619"
"Ariel Jurado","Rangers","3","1","0","5","5","28.2","7.85","3.14","1.26",".301","75.6 %","46.5 %","12.9 %","3.77","4.38","4.66","0.5","17030"
"Chase Anderson","Brewers","2","1","0","7","7","32.2","9.09","3.03","1.38",".286","80.6 %","37.5 %","14.3 %","3.58","4.23","4.31","0.5","6895"
"Dakota Hudson","Cardinals","5","3","0","13","13","72.0","6.38","4.00","1.13",".298","76.0 %","62.1 %","21.4 %","3.50","4.78","4.29","0.5","19206"
"Jeff Samardzija","Giants","3","5","0","13","13","67.2","7.45","2.79","1.46",".255","71.4 %","33.0 %","12.4 %","3.72","4.64","5.07","0.3","3254"
"Peter Lambert","Rockies","2","0","0","2","2","12.0","9.00","2.25","0.75",".207","94.3 %","50.0 %","11.1 %","1.50","3.49","3.86","0.3","17969"
"Mike Leake","Mariners","5","6","0","14","14","88.2","6.29","1.62","2.03",".273","76.5 %","47.6 %","18.7 %","4.26","5.33","4.74","0.2","10130"
"Cole Irvin","Phillies","2","1","0","3","3","17.2","6.62","2.55","1.53",".259","58.5 %","32.1 %","13.6 %","5.60","4.91","5.11","0.1","19244"
"Zack Godley","Diamondbacks","1","4","0","8","8","35.0","7.71","5.14","1.29",".345","58.6 %","41.1 %","12.8 %","7.71","5.19","5.48","0.1","14862"
"Tanner Anderson","Athletics","0","1","0","1","1","5.2","7.94","3.18","1.59",".143","83.3 %","46.7 %","14.3 %","3.18","4.75","4.84","0.1","18029"
"Odrisamer Despaigne","White Sox","0","1","0","1","1","6.0","3.00","3.00","1.50",".286","79.0 %","27.3 %","7.7 %","4.50","5.66","7.68","0.0","16017"
"Nick Margevicius","Padres","2","6","0","11","11","52.0","6.40","2.77","1.90",".280","72.2 %","43.1 %","19.6 %","5.02","5.58","4.91","-0.1","20395"
"Mike Foltynewicz","Braves","1","5","0","9","9","49.1","7.66","2.37","2.74",".262","63.0 %","35.3 %","22.4 %","6.02","6.32","4.99","-0.4","10811"
"Chris Archer","Pirates","3","6","0","11","11","59.2","9.20","4.53","2.41",".268","73.6 %","38.6 %","24.2 %","5.73","6.16","4.81","-0.4","6345"
