"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Twins","2628","8.1 %","20.0 %","0.40",".274",".341",".514",".855",".241","4.1",".298","-4.9","2.0","-2.2","413","87.2",".357","123"
"Astros","2713","9.8 %","17.9 %","0.55",".266",".342",".473",".815",".207","4.3",".286","1.0","-3.2","-2.0","395","58.7",".343","120"
"Dodgers","2717","10.2 %","20.1 %","0.51",".264",".346",".466",".812",".202","4.1",".296","3.0","3.0","0.3","390","52.9",".342","115"
"Cubs","2689","10.4 %","23.2 %","0.45",".254",".340",".454",".794",".200","3.3",".297","0.7","-0.9","-4.0","373","38.9",".336","107"
"Braves","2743","9.4 %","21.7 %","0.43",".262",".337",".453",".791",".191","4.3",".305","1.7","1.4","-2.5","376","35.7",".334","104"
"Red Sox","2798","10.0 %","21.2 %","0.47",".260",".339",".448",".787",".189","4.3",".300","2.6","-1.2","0.5","384","37.2",".334","105"
"Rangers","2700","9.6 %","25.2 %","0.38",".256",".336",".446",".782",".190","5.6",".318","3.3","0.3","2.9","367","31.9",".332","101"
"Brewers","2718","9.8 %","24.5 %","0.40",".253",".332",".454",".787",".202","4.1",".299","2.7","-2.5","2.5","370","32.8",".332","104"
"Rays","2692","8.9 %","24.2 %","0.37",".263",".338",".439",".776",".175","4.7",".324","1.6","1.1","-0.2","363","29.2",".331","110"
"Yankees","2598","9.5 %","22.8 %","0.42",".257",".332",".447",".779",".190","4.0",".298","0.4","-0.4","0.7","349","26.7",".330","106"
"Rockies","2703","7.8 %","23.9 %","0.33",".265",".327",".457",".784",".192","5.1",".323","0.3","1.1","-3.0","360","24.1",".330","87"
"Mariners","2857","9.7 %","25.0 %","0.39",".243",".322",".454",".777",".211","4.4",".284","-0.8","2.5","3.0","381","26.5",".329","111"
"Angels","2705","9.6 %","16.8 %","0.57",".257",".337",".434",".770",".177","3.8",".278","2.9","-5.2","0.5","358","22.3",".327","108"
"Diamondbacks","2802","7.7 %","22.1 %","0.35",".256",".320",".455",".775",".199","5.1",".296","-0.5","-2.0","3.5","364","16.7",".326","98"
"Nationals","2630","8.6 %","23.0 %","0.37",".251",".324",".425",".749",".175","4.4",".298","-1.9","0.0","1.1","326","0.0",".319","94"
"Athletics","2746","8.7 %","20.4 %","0.43",".244",".318",".428",".746",".184","3.8",".273","2.2","-1.1","-2.0","339","-1.3",".317","101"
"Mets","2669","8.5 %","23.9 %","0.35",".249",".322",".422",".744",".173","3.7",".300","-5.9","-1.4","-1.3","329","-2.6",".317","100"
"Phillies","2646","9.6 %","22.2 %","0.43",".244",".323",".421",".743",".176","4.1",".289","0.2","2.0","-1.6","320","-8.3",".315","94"
"Cardinals","2579","9.3 %","22.2 %","0.42",".246",".324",".408",".733",".163","4.3",".291","3.8","0.3","3.1","309","-10.9",".314","94"
"Pirates","2669","6.9 %","21.4 %","0.32",".260",".318",".414",".731",".153","4.6",".313","-0.3","1.7","1.5","312","-19.3",".310","92"
"White Sox","2496","7.1 %","25.0 %","0.28",".253",".314",".405",".719",".152","3.8",".315","4.2","3.1","-0.6","288","-22.0",".308","93"
"Padres","2559","7.5 %","26.7 %","0.28",".236",".298",".418",".716",".183","4.0",".287","-3.7","-5.0","0.5","285","-32.8",".304","88"
"Royals","2576","7.8 %","23.6 %","0.33",".242",".307",".402",".709",".159","5.9",".297","-0.2","0.7","3.5","285","-35.0",".302","86"
"Indians","2529","10.0 %","23.0 %","0.43",".229",".312",".390",".702",".161","4.0",".271","3.0","0.7","0.4","277","-36.4",".301","83"
"Orioles","2590","6.8 %","23.7 %","0.29",".239",".299",".402",".701",".163","4.3",".287","-0.9","0.3","0.2","280","-41.1",".300","86"
"Reds","2502","8.2 %","23.6 %","0.35",".232",".302",".402",".704",".170","3.8",".272","-5.2","-0.1","-2.9","269","-41.4",".299","81"
"Tigers","2497","7.5 %","26.2 %","0.29",".231",".293",".381",".674",".150","4.7",".294","-1.8","4.0","1.2","245","-64.5",".288","78"
"Blue Jays","2541","8.0 %","24.8 %","0.32",".221",".288",".380",".668",".159","3.3",".266","-3.9","0.7","-0.4","247","-68.4",".286","77"
"Giants","2482","8.0 %","23.6 %","0.34",".224",".290",".368",".658",".144","3.7",".272","-3.2","1.8","-1.1","232","-75.9",".283","75"
"Marlins","2492","6.7 %","23.7 %","0.28",".236",".295",".348",".643",".112","3.0",".295","0.3","-3.8","-1.4","224","-85.2",".279","74"
